level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	81	2142	43	28	-1	
3	1	1	1	0	0	81	2142	43	28	-1	
4	1	1	1	1	0	81	2142	43	28	-1	
5	1	1	1	1	1	81	2142	43	28	68	3
2	1	2	0	0	0	192	300	316	40	-1	
3	1	2	1	0	0	192	300	316	40	-1	
4	1	2	1	1	0	192	300	316	40	-1	
5	1	2	1	1	1	192	301	36	39	88	綜
5	1	2	1	1	2	237	300	62	40	96	合
5	1	2	1	1	3	296	302	27	38	95	權
5	1	2	1	1	4	331	302	38	36	93	盜
5	1	2	1	1	5	381	302	35	38	95	變
5	1	2	1	1	6	426	301	82	38	96	動
5	1	2	1	1	7	0	0	1654	2339	96	表
2	1	3	0	0	0	190	363	398	24	-1	
3	1	3	1	0	0	190	363	398	24	-1	
4	1	3	1	1	0	190	363	398	24	-1	
5	1	3	1	1	1	190	364	22	23	95	截
5	1	3	1	1	2	215	366	47	20	96	至
5	1	3	1	1	3	0	0	1654	2339	93	二
5	1	3	1	1	4	266	365	22	22	88	零
5	1	3	1	1	5	292	366	33	21	96	一
5	1	3	1	1	6	327	366	12	21	96	八
5	1	3	1	1	7	342	364	22	23	96	年
5	1	3	1	1	8	368	365	22	21	96	六
5	1	3	1	1	9	394	364	18	23	96	月
5	1	3	1	1	10	418	367	23	18	96	三
5	1	3	1	1	11	444	363	22	24	96	十
5	1	3	1	1	12	472	366	15	20	96	日
5	1	3	1	1	13	494	365	22	22	96	止
5	1	3	1	1	14	519	364	32	23	96	六
5	1	3	1	1	15	551	364	37	23	96	個
5	1	3	1	1	16	0	0	1654	2339	96	月
2	1	4	0	0	0	187	623	332	139	-1	
3	1	4	1	0	0	187	623	332	139	-1	
4	1	4	1	1	0	187	623	332	24	-1	
5	1	4	1	1	1	187	623	45	23	42	奼
5	1	4	1	1	2	234	623	28	22	45	繁
5	1	4	1	1	3	264	623	28	24	86	恃
5	1	4	1	1	4	294	625	27	21	63	一
5	1	4	1	1	5	325	623	28	24	50	胚
5	1	4	1	1	6	356	625	26	21	80	十
5	1	4	1	1	7	387	623	12	23	66	晚
5	1	4	1	1	8	401	623	14	23	91	#
5	1	4	1	1	9	416	623	14	23	45	緝
5	1	4	1	1	10	432	624	20	22	78	(
5	1	4	1	1	11	454	623	28	23	67	妻
5	1	4	1	1	12	484	623	29	23	23	鰤
