level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	81	2142	43	28	-1	
3	1	1	1	0	0	81	2142	43	28	-1	
4	1	1	1	1	0	81	2142	43	28	-1	
5	1	1	1	1	1	81	2142	43	28	96	30
2	1	2	0	0	0	192	300	316	40	-1	
3	1	2	1	0	0	192	300	316	40	-1	
4	1	2	1	1	0	192	300	316	40	-1	
5	1	2	1	1	1	192	301	36	39	58	fin
5	1	2	1	1	2	237	300	86	40	22	AE
5	1	2	1	1	3	331	302	38	36	35	teh
5	1	2	1	1	4	381	302	35	38	27	BY
5	1	2	1	1	5	426	301	36	38	0	B)
5	1	2	1	1	6	473	301	35	38	65	Ze
2	1	3	0	0	0	190	363	398	24	-1	
3	1	3	1	0	0	190	363	398	24	-1	
4	1	3	1	1	0	190	363	398	24	-1	
5	1	3	1	1	1	190	363	276	24	29	HS—S—)\EAA=T
5	1	3	1	1	2	472	365	44	22	0	BIE
5	1	3	1	1	3	519	364	69	23	0	NGA
2	1	4	0	0	0	187	623	332	139	-1	
3	1	4	1	0	0	187	623	332	139	-1	
4	1	4	1	1	0	187	623	332	24	-1	
5	1	4	1	1	1	187	623	181	24	5	RIS-tETIAET—
5	1	4	1	1	2	373	623	57	23	42	AGE
5	1	4	1	1	3	432	623	87	23	29	aS)
4	1	4	1	2	0	187	681	326	24	-1	
5	1	4	1	2	1	187	681	89	23	4	SERRA
5	1	4	1	2	2	278	681	30	23	21	HR
5	1	4	1	2	3	309	681	59	23	17	BAUS
5	1	4	1	2	4	372	681	24	23	46	OSE
5	1	4	1	2	5	398	681	44	23	20	ARE
5	1	4	1	2	6	444	681	35	23	51	(Hat
5	1	4	1	2	7	482	681	31	24	24	Aa)
4	1	4	1	3	0	187	739	197	23	-1	
5	1	4	1	3	1	187	739	135	23	0	W=3-MF-A-
5	1	4	1	3	2	326	739	58	23	30	BARE
2	1	5	0	0	0	186	794	332	248	-1	
3	1	5	1	0	0	186	794	332	248	-1	
4	1	5	1	1	0	187	794	59	23	-1	
5	1	5	1	1	1	187	794	59	23	25	Pima
4	1	5	1	2	0	187	826	58	24	-1	
5	1	5	1	2	1	187	826	58	24	56	HARA
4	1	5	1	3	0	186	857	176	25	-1	
5	1	5	1	3	1	186	857	90	25	16	PDE
5	1	5	1	3	2	278	858	84	24	31	RBS):
4	1	5	1	4	0	202	889	271	25	-1	
