level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	83	2143	42	27	-1	
3	1	1	1	0	0	83	2143	42	27	-1	
4	1	1	1	1	0	83	2143	42	27	-1	
5	1	1	1	1	1	83	2143	42	27	91	30
2	1	2	0	0	0	190	300	400	87	-1	
3	1	2	1	0	0	190	300	400	87	-1	
4	1	2	1	1	0	192	300	317	39	-1	
5	1	2	1	1	1	192	301	37	38	87	综
5	1	2	1	1	2	237	300	40	39	95	合
5	1	2	1	1	3	297	301	73	38	93	权
5	1	2	1	1	4	381	302	36	37	96	益
5	1	2	1	1	5	428	307	8	3	94	变
5	1	2	1	1	6	441	307	9	3	93	动
5	1	2	1	1	7	473	300	36	38	94	表
4	1	2	1	2	0	190	363	400	24	-1	
5	1	2	1	2	1	190	363	23	24	94	截
5	1	2	1	2	2	215	365	23	21	96	至
5	1	2	1	2	3	241	365	48	22	96	二
5	1	2	1	2	4	0	0	1654	2339	93	零
5	1	2	1	2	5	293	365	33	21	96	一
5	1	2	1	2	6	328	365	12	21	93	八
5	1	2	1	2	7	344	363	21	23	96	年
5	1	2	1	2	8	369	364	44	22	96	六
5	1	2	1	2	9	0	0	1654	2339	93	月
5	1	2	1	2	10	419	366	22	18	93	三
5	1	2	1	2	11	445	363	21	23	96	十
5	1	2	1	2	12	473	365	15	20	96	日
5	1	2	1	2	13	494	364	23	22	96	止
5	1	2	1	2	14	520	363	32	23	96	六
5	1	2	1	2	15	553	364	14	22	90	个
5	1	2	1	2	16	572	363	18	23	96	月
2	1	3	0	0	0	582	438	878	11	-1	
3	1	3	1	0	0	582	438	878	11	-1	
4	1	3	1	1	0	582	438	878	11	-1	
5	1	3	1	1	1	582	438	878	11	95	 
2	1	4	0	0	0	582	479	651	9	-1	
3	1	4	1	0	0	582	479	651	9	-1	
4	1	4	1	1	0	582	479	651	9	-1	
5	1	4	1	1	1	582	479	651	9	95	 
2	1	5	0	0	0	581	648	878	13	-1	
3	1	5	1	0	0	581	648	878	13	-1	
4	1	5	1	1	0	581	648	878	13	-1	
5	1	5	1	1	1	581	648	878	13	95	 
2	1	6	0	0	0	581	706	878	13	-1	
3	1	6	1	0	0	581	706	878	13	-1	
4	1	6	1	1	0	581	706	878	13	-1	
5	1	6	1	1	1	581	706	878	13	95	 
2	1	7	0	0	0	581	764	878	13	-1	
3	1	7	1	0	0	581	764	878	13	-1	
4	1	7	1	1	0	581	764	878	13	-1	
5	1	7	1	1	1	581	764	878	13	95	 
2	1	8	0	0	0	364	891	22	54	-1	
3	1	8	1	0	0	364	891	22	54	-1	
4	1	8	1	1	0	364	891	22	54	-1	
5	1	8	1	1	1	364	891	22	54	95	   
2	1	9	0	0	0	579	1043	878	13	-1	
3	1	9	1	0	0	579	1043	878	13	-1	
4	1	9	1	1	0	579	1043	878	13	-1	
5	1	9	1	1	1	579	1043	878	13	95	 
2	1	10	0	0	0	579	1098	878	13	-1	
3	1	10	1	0	0	579	1098	878	13	-1	
4	1	10	1	1	0	579	1098	878	13	-1	
5	1	10	1	1	1	579	1098	878	13	95	 
2	1	11	0	0	0	578	1217	878	13	-1	
3	1	11	1	0	0	578	1217	878	13	-1	
4	1	11	1	1	0	578	1217	878	13	-1	
5	1	11	1	1	1	578	1217	878	13	95	 
2	1	12	0	0	0	575	1820	878	13	-1	
3	1	12	1	0	0	575	1820	878	13	-1	
4	1	12	1	1	0	575	1820	878	13	-1	
5	1	12	1	1	1	575	1820	878	13	95	 
2	1	13	0	0	0	574	1907	879	13	-1	
3	1	13	1	0	0	574	1907	879	13	-1	
4	1	13	1	1	0	574	1907	879	13	-1	
5	1	13	1	1	1	574	1907	879	13	95	 
2	1	14	0	0	0	182	418	1280	1543	-1	
3	1	14	1	0	0	182	418	1280	1543	-1	
4	1	14	1	1	0	991	418	59	24	-1	
5	1	14	1	1	1	991	418	59	24	34	E
4	1	14	1	2	0	832	458	150	24	-1	
5	1	14	1	2	1	832	459	14	23	65	本
5	1	14	1	2	2	848	460	13	21	60	公
5	1	14	1	2	3	863	460	12	22	94	司
5	1	14	1	2	4	877	459	14	23	40	模
5	1	14	1	2	5	892	459	14	21	15	超
5	1	14	1	2	6	908	458	13	23	47	持
5	1	14	1	2	7	923	458	14	24	60	有
5	1	14	1	2	8	939	459	13	22	71	人
5	1	14	1	2	9	953	458	29	23	0	康
4	1	14	1	3	0	802	499	88	23	-1	
5	1	14	1	3	1	802	500	13	22	59	股
5	1	14	1	3	2	817	499	14	23	13	传
5	1	14	1	3	3	832	499	14	23	23	狱
5	1	14	1	3	4	847	499	13	23	44	国
5	1	14	1	3	5	862	499	28	23	73	计
5	1	14	1	3	6	0	0	1654	2339	43	刑
4	1	14	1	4	0	636	529	823	25	-1	
5	1	14	1	4	1	636	533	13	21	14	货
5	1	14	1	4	2	651	531	14	23	51	本
5	1	14	1	4	3	719	532	14	22	75	股
5	1	14	1	4	4	734	531	14	23	90	本
5	1	14	1	4	5	750	531	28	23	71	溢
5	1	14	1	4	6	0	0	1654	2339	44	偷
5	1	14	1	4	7	0	0	1654	2339	68	ˇ
5	1	14	1	4	8	832	531	14	23	72	所
5	1	14	1	4	9	847	531	28	23	54	指
5	1	14	1	4	10	877	531	14	23	70	股
5	1	14	1	4	11	0	0	1654	2339	78	份
5	1	14	1	4	12	0	0	1654	2339	62	ˇ
5	1	14	1	4	13	945	531	13	22	70	其
5	1	14	1	4	14	960	530	14	24	96	他
5	1	14	1	4	15	976	531	28	23	44	偷
5	1	14	1	4	16	0	0	1654	2339	27	倩
5	1	14	1	4	17	0	0	1654	2339	54	ˇ
5	1	14	1	4	18	1058	531	14	23	69	保
5	1	14	1	4	19	1074	531	12	23	54	留
5	1	14	1	4	20	1089	531	26	22	35	盆
5	1	14	1	4	21	1114	531	4	22	34	利
5	1	14	1	4	22	1203	530	29	23	79	台
5	1	14	1	4	23	0	0	1654	2339	87	计
5	1	14	1	4	24	1256	530	13	23	54	非
5	1	14	1	4	25	1270	530	26	23	28	接
5	1	14	1	4	26	1295	530	4	23	57	刻
5	1	14	1	4	27	1301	530	28	23	53	性
5	1	14	1	4	28	1331	530	13	22	69	棣
5	1	14	1	4	29	0	0	1654	2339	61	益
5	1	14	1	4	30	0	0	1654	2339	51	ˇ
5	1	14	1	4	31	1398	529	14	24	48	橙
5	1	14	1	4	32	1413	530	14	21	0	益
5	1	14	1	4	33	1429	529	30	23	36	继
5	1	14	1	4	34	0	0	1654	2339	54	额
4	1	14	1	5	0	575	561	883	26	-1	
5	1	14	1	5	1	575	564	13	22	94	人
5	1	14	1	5	2	591	565	12	21	63	民
5	1	14	1	5	3	605	563	14	24	52	帽
5	1	14	1	5	4	621	563	28	24	85	百
5	1	14	1	5	5	651	565	13	21	17	荣
5	1	14	1	5	6	0	0	1654	2339	96	元
5	1	14	1	5	7	0	0	1654	2339	67	“
5	1	14	1	5	8	688	564	14	22	75	人
5	1	14	1	5	9	704	564	12	22	94	民
5	1	14	1	5	10	719	563	14	23	51	常
5	1	14	1	5	11	734	563	29	23	92	百
5	1	14	1	5	12	765	565	13	21	44	蔡
5	1	14	1	5	13	0	0	1654	2339	83	元
5	1	14	1	5	14	0	0	1654	2339	69	“
5	1	14	1	5	15	802	564	13	21	87	人
5	1	14	1	5	16	817	564	13	22	87	民
5	1	14	1	5	17	832	563	13	23	46	帕
5	1	14	1	5	18	847	563	28	23	80	百
5	1	14	1	5	19	877	565	13	21	40	营
5	1	14	1	5	20	0	0	1654	2339	89	元
5	1	14	1	5	21	0	0	1654	2339	61	“
5	1	14	1	5	22	915	564	13	21	78	人
5	1	14	1	5	23	930	564	13	21	96	民
5	1	14	1	5	24	945	563	13	23	50	鸭
5	1	14	1	5	25	961	564	12	22	23	百
5	1	14	1	5	26	975	563	29	23	61	营
5	1	14	1	5	27	0	0	1654	2339	95	元
5	1	14	1	5	28	0	0	1654	2339	71	“
5	1	14	1	5	29	1028	563	13	22	94	人
5	1	14	1	5	30	1044	564	12	21	92	民
5	1	14	1	5	31	1058	562	13	24	72	币
5	1	14	1	5	32	1073	564	14	22	46	百
5	1	14	1	5	33	1089	562	29	24	22	节
5	1	14	1	5	34	0	0	1654	2339	95	元
5	1	14	1	5	35	1142	563	13	22	37	人
5	1	14	1	5	36	1158	562	28	23	87	民
5	1	14	1	5	37	1188	563	13	22	39	常百
5	1	14	1	5	38	1203	562	28	23	25	蔡
5	1	14	1	5	39	0	0	1654	2339	73	元
5	1	14	1	5	40	0	0	1654	2339	63	“
5	1	14	1	5	41	1256	562	13	23	70	人
5	1	14	1	5	42	1271	563	13	22	83	民
5	1	14	1	5	43	1286	562	13	23	60	常
5	1	14	1	5	44	1301	563	13	22	85	百
5	1	14	1	5	45	1316	562	28	23	45	黄
5	1	14	1	5	46	0	0	1654	2339	35	元
5	1	14	1	5	47	1368	562	13	22	64	人
5	1	14	1	5	48	1383	563	13	21	93	民
5	1	14	1	5	49	1398	561	13	24	42	帕
