level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	83	2143	42	27	-1	
3	1	1	1	0	0	83	2143	42	27	-1	
4	1	1	1	1	0	83	2143	42	27	-1	
5	1	1	1	1	1	83	2143	42	27	37	328
2	1	2	0	0	0	190	300	400	87	-1	
3	1	2	1	0	0	190	300	400	87	-1	
4	1	2	1	1	0	192	300	317	39	-1	
5	1	2	1	1	1	192	300	85	39	92	综合
5	1	2	1	1	2	297	301	73	38	93	权益
5	1	2	1	1	3	381	302	69	37	47	变动
5	1	2	1	1	4	473	300	36	38	65	表
4	1	2	1	2	0	190	363	400	24	-1	
5	1	2	1	2	1	190	363	48	24	65	截至
5	1	2	1	2	2	241	369	22	15	93	二
5	1	2	1	2	3	267	365	22	22	89	零
5	1	2	1	2	4	293	365	33	21	88	一
5	1	2	1	2	5	328	363	37	23	92	八
5	1	2	1	2	6	0	0	1654	2339	96	年
5	1	2	1	2	7	369	364	22	22	96	六
5	1	2	1	2	8	396	364	17	22	96	月
5	1	2	1	2	9	419	366	22	18	96	三
5	1	2	1	2	10	445	363	21	23	95	十
5	1	2	1	2	11	473	364	44	22	92	日
5	1	2	1	2	12	0	0	1654	2339	0	止
5	1	2	1	2	13	520	364	22	21	96	六
5	1	2	1	2	14	545	363	45	23	95	个
5	1	2	1	2	15	0	0	1654	2339	96	月
2	1	3	0	0	0	582	438	878	11	-1	
3	1	3	1	0	0	582	438	878	11	-1	
4	1	3	1	1	0	582	438	878	11	-1	
5	1	3	1	1	1	582	438	878	11	95	 
2	1	4	0	0	0	582	479	651	9	-1	
3	1	4	1	0	0	582	479	651	9	-1	
4	1	4	1	1	0	582	479	651	9	-1	
5	1	4	1	1	1	582	479	651	9	95	 
2	1	5	0	0	0	581	648	878	13	-1	
3	1	5	1	0	0	581	648	878	13	-1	
4	1	5	1	1	0	581	648	878	13	-1	
5	1	5	1	1	1	581	648	878	13	95	 
2	1	6	0	0	0	581	706	878	13	-1	
3	1	6	1	0	0	581	706	878	13	-1	
4	1	6	1	1	0	581	706	878	13	-1	
5	1	6	1	1	1	581	706	878	13	95	 
2	1	7	0	0	0	581	764	878	13	-1	
3	1	7	1	0	0	581	764	878	13	-1	
4	1	7	1	1	0	581	764	878	13	-1	
5	1	7	1	1	1	581	764	878	13	95	 
2	1	8	0	0	0	364	891	22	54	-1	
3	1	8	1	0	0	364	891	22	54	-1	
4	1	8	1	1	0	364	891	22	54	-1	
5	1	8	1	1	1	364	891	22	54	95	   
2	1	9	0	0	0	579	1043	878	13	-1	
3	1	9	1	0	0	579	1043	878	13	-1	
4	1	9	1	1	0	579	1043	878	13	-1	
5	1	9	1	1	1	579	1043	878	13	95	 
2	1	10	0	0	0	579	1098	878	13	-1	
3	1	10	1	0	0	579	1098	878	13	-1	
4	1	10	1	1	0	579	1098	878	13	-1	
5	1	10	1	1	1	579	1098	878	13	95	 
2	1	11	0	0	0	578	1217	878	13	-1	
3	1	11	1	0	0	578	1217	878	13	-1	
4	1	11	1	1	0	578	1217	878	13	-1	
5	1	11	1	1	1	578	1217	878	13	95	 
2	1	12	0	0	0	575	1820	878	13	-1	
3	1	12	1	0	0	575	1820	878	13	-1	
4	1	12	1	1	0	575	1820	878	13	-1	
5	1	12	1	1	1	575	1820	878	13	95	 
2	1	13	0	0	0	574	1907	879	13	-1	
3	1	13	1	0	0	574	1907	879	13	-1	
4	1	13	1	1	0	574	1907	879	13	-1	
5	1	13	1	1	1	574	1907	879	13	95	 
2	1	14	0	0	0	182	418	1280	1543	-1	
3	1	14	1	0	0	182	418	1280	1543	-1	
4	1	14	1	1	0	991	418	59	24	-1	
5	1	14	1	1	1	991	418	14	23	94	未
5	1	14	1	1	2	1007	419	13	22	38	经
5	1	14	1	1	3	1021	419	14	23	0	守
5	1	14	1	1	4	1036	418	14	23	0	术
4	1	14	1	2	0	832	458	150	24	-1	
5	1	14	1	2	1	832	459	14	23	96	本
5	1	14	1	2	2	848	460	27	22	96	公司
5	1	14	1	2	3	877	459	14	23	37	条
5	1	14	1	2	4	892	458	29	23	0	益
5	1	14	1	2	5	0	0	1654	2339	87	持
5	1	14	1	2	6	923	458	14	24	92	有
5	1	14	1	2	7	939	459	13	22	96	人
5	1	14	1	2	8	953	459	14	22	64	应
5	1	14	1	2	9	969	458	13	23	76	人
4	1	14	1	3	0	802	499	88	23	-1	
5	1	14	1	3	1	802	499	29	23	85	股份
5	1	14	1	3	2	832	499	14	23	36	奖
5	1	14	1	3	3	847	499	13	23	27	剧
5	1	14	1	3	4	862	499	28	23	89	计划
4	1	14	1	4	0	636	529	823	25	-1	
5	1	14	1	4	1	636	531	29	23	0	证
5	1	14	1	4	2	719	531	172	23	8	半生
5	1	14	1	4	3	0	0	1654	2339	0	下
5	1	14	1	4	4	945	531	13	22	82	其
5	1	14	1	4	5	960	530	14	24	93	他
5	1	14	1	4	6	976	531	13	23	0	偿
5	1	14	1	4	7	991	531	13	23	0	代
5	1	14	1	4	8	1058	531	45	23	42	保留
5	1	14	1	4	9	0	0	1654	2339	0	盈
5	1	14	1	4	10	1105	531	13	22	0	和
5	1	14	1	4	11	1203	530	59	23	0	硅
5	1	14	1	4	12	1263	530	81	23	13	汪汪
5	1	14	1	4	13	1398	529	61	24	20	本
4	1	14	1	5	0	575	561	883	26	-1	
5	1	14	1	5	1	575	564	13	22	96	人
5	1	14	1	5	2	591	563	28	24	50	民营
5	1	14	1	5	3	621	565	13	21	66	百
5	1	14	1	5	4	636	563	28	24	0	葛
5	1	14	1	5	5	0	0	1654	2339	62	元
5	1	14	1	5	6	688	564	28	22	18	人民
5	1	14	1	5	7	719	563	14	23	29	囊
5	1	14	1	5	8	734	564	13	22	68	百
5	1	14	1	5	9	750	563	28	23	0	黄
5	1	14	1	5	10	0	0	1654	2339	90	元
5	1	14	1	5	11	802	564	28	22	18	人民
5	1	14	1	5	12	832	563	13	23	0	囊
5	1	14	1	5	13	847	564	13	22	53	百
5	1	14	1	5	14	862	563	13	23	0	黄
5	1	14	1	5	15	877	565	13	21	86	元
5	1	14	1	5	16	915	564	28	21	17	人民
5	1	14	1	5	17	945	563	13	23	35	囊
5	1	14	1	5	18	961	564	12	22	80	百
5	1	14	1	5	19	975	563	14	23	3	葛
5	1	14	1	5	20	991	564	13	22	51	元
5	1	14	1	5	21	1028	563	13	22	30	人
5	1	14	1	5	22	1044	564	12	21	91	民
5	1	14	1	5	23	1058	562	13	24	9	冲
5	1	14	1	5	24	1073	564	14	22	86	百
5	1	14	1	5	25	1089	562	29	24	45	其
5	1	14	1	5	26	0	0	1654	2339	82	元
5	1	14	1	5	27	1142	563	28	22	35	人民
5	1	14	1	5	28	1173	562	13	23	29	带
5	1	14	1	5	29	1188	563	13	22	78	百
5	1	14	1	5	30	1203	562	28	23	52	万
5	1	14	1	5	31	0	0	1654	2339	85	元
5	1	14	1	5	32	1256	562	13	23	60	人
5	1	14	1	5	33	1271	563	13	22	91	民
5	1	14	1	5	34	1286	562	13	23	0	冲
5	1	14	1	5	35	1301	563	13	22	70	百
5	1	14	1	5	36	1316	562	28	23	0	葛
5	1	14	1	5	37	0	0	1654	2339	65	元
5	1	14	1	5	38	1368	562	28	22	48	人民
5	1	14	1	5	39	1398	561	13	24	0	冲
5	1	14	1	5	40	1414	563	13	22	76	百
5	1	14	1	5	41	1429	561	29	24	61	其
5	1	14	1	5	42	0	0	1654	2339	91	元
4	1	14	1	6	0	188	622	1270	25	-1	
5	1	14	1	6	1	188	623	14	23	84	认
5	1	14	1	6	2	204	627	13	14	7	二
5	1	14	1	6	3	218	624	14	22	0	雯
5	1	14	1	6	4	234	633	12	2	62	一
5	1	14	1	6	5	249	623	29	23	90	七
5	1	14	1	6	6	280	623	13	23	94	年
5	1	14	1	6	7	0	0	1654	2339	96	十
5	1	14	1	6	8	296	627	13	15	96	二
5	1	14	1	6	9	311	624	11	22	96	月
5	1	14	1	6	10	326	626	13	17	93	三
5	1	14	1	6	11	342	623	12	23	96	十
5	1	14	1	6	12	357	633	12	2	85	一
5	1	14	1	6	13	374	625	9	20	61	日
5	1	14	1	6	14	388	623	12	22	63	的
5	1	14	1	6	15	402	622	14	24	92	结
5	1	14	1	6	16	417	623	14	23	0	儿
5	1	14	1	6	17	433	623	4	23	0	(
5	1	14	1	6	18	440	623	12	22	92	如
5	1	14	1	6	19	455	622	27	24	88	前
5	1	14	1	6	20	0	0	1654	2339	54	期
5	1	14	1	6	21	485	623	29	23	47	呈报
5	1	14	1	6	22	516	623	4	22	68	)
5	1	14	1	6	23	658	635	7	3	63	<
5	1	14	1	6	24	732	625	46	22	34	22.204
5	1	14	1	6	25	849	624	46	23	61	(970)
5	1	14	1	6	26	958	624	46	23	71	35158
5	1	14	1	6	27	1063	624	54	23	60	202682
5	1	14	1	6	28	1178	624	54	22	57	256074
5	1	14	1	6	29	1299	623	44	23	38	三
5	1	14	1	6	30	1403	623	55	23	59	277.093
