level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	83	2143	42	27	-1	
3	1	1	1	0	0	83	2143	42	27	-1	
4	1	1	1	1	0	83	2143	42	27	-1	
5	1	1	1	1	1	83	2143	42	27	33	和
2	1	2	0	0	0	190	300	400	87	-1	
3	1	2	1	0	0	190	300	400	87	-1	
4	1	2	1	1	0	192	300	317	39	-1	
5	1	2	1	1	1	192	300	85	39	95	綜合
5	1	2	1	1	2	297	301	73	38	96	權益
5	1	2	1	1	3	381	302	69	37	96	變動
5	1	2	1	1	4	473	300	36	38	96	表
4	1	2	1	2	0	190	363	400	24	-1	
5	1	2	1	2	1	190	363	48	24	92	截至
5	1	2	1	2	2	241	369	22	15	93	二
5	1	2	1	2	3	267	365	22	22	91	零
5	1	2	1	2	4	293	365	33	21	93	一
5	1	2	1	2	5	328	365	12	21	96	八
5	1	2	1	2	6	344	363	21	23	96	年
5	1	2	1	2	7	369	364	22	22	95	六
5	1	2	1	2	8	396	364	17	22	96	月
5	1	2	1	2	9	419	366	22	18	96	三
5	1	2	1	2	10	445	363	21	23	96	十
5	1	2	1	2	11	473	364	44	22	93	日
5	1	2	1	2	12	0	0	1654	2339	90	止
5	1	2	1	2	13	520	364	22	21	96	六
5	1	2	1	2	14	545	363	22	23	96	個
5	1	2	1	2	15	572	363	18	23	96	月
2	1	3	0	0	0	582	438	878	11	-1	
3	1	3	1	0	0	582	438	878	11	-1	
4	1	3	1	1	0	582	438	878	11	-1	
5	1	3	1	1	1	582	438	878	11	95	 
2	1	4	0	0	0	582	479	651	9	-1	
3	1	4	1	0	0	582	479	651	9	-1	
4	1	4	1	1	0	582	479	651	9	-1	
5	1	4	1	1	1	582	479	651	9	95	 
2	1	5	0	0	0	581	648	878	13	-1	
3	1	5	1	0	0	581	648	878	13	-1	
4	1	5	1	1	0	581	648	878	13	-1	
5	1	5	1	1	1	581	648	878	13	95	 
2	1	6	0	0	0	581	706	878	13	-1	
3	1	6	1	0	0	581	706	878	13	-1	
4	1	6	1	1	0	581	706	878	13	-1	
5	1	6	1	1	1	581	706	878	13	95	 
2	1	7	0	0	0	581	764	878	13	-1	
3	1	7	1	0	0	581	764	878	13	-1	
4	1	7	1	1	0	581	764	878	13	-1	
5	1	7	1	1	1	581	764	878	13	95	 
2	1	8	0	0	0	364	891	22	54	-1	
3	1	8	1	0	0	364	891	22	54	-1	
4	1	8	1	1	0	364	891	22	54	-1	
5	1	8	1	1	1	364	891	22	54	95	   
2	1	9	0	0	0	579	1043	878	13	-1	
3	1	9	1	0	0	579	1043	878	13	-1	
4	1	9	1	1	0	579	1043	878	13	-1	
5	1	9	1	1	1	579	1043	878	13	95	 
2	1	10	0	0	0	579	1098	878	13	-1	
3	1	10	1	0	0	579	1098	878	13	-1	
4	1	10	1	1	0	579	1098	878	13	-1	
5	1	10	1	1	1	579	1098	878	13	95	 
2	1	11	0	0	0	578	1217	878	13	-1	
3	1	11	1	0	0	578	1217	878	13	-1	
4	1	11	1	1	0	578	1217	878	13	-1	
5	1	11	1	1	1	578	1217	878	13	95	 
2	1	12	0	0	0	575	1820	878	13	-1	
3	1	12	1	0	0	575	1820	878	13	-1	
4	1	12	1	1	0	575	1820	878	13	-1	
5	1	12	1	1	1	575	1820	878	13	95	 
2	1	13	0	0	0	574	1907	879	13	-1	
3	1	13	1	0	0	574	1907	879	13	-1	
4	1	13	1	1	0	574	1907	879	13	-1	
5	1	13	1	1	1	574	1907	879	13	95	 
2	1	14	0	0	0	182	418	1280	1543	-1	
3	1	14	1	0	0	182	418	1280	1543	-1	
4	1	14	1	1	0	991	418	59	24	-1	
5	1	14	1	1	1	991	418	14	23	11	林
5	1	14	1	1	2	1007	419	13	22	0	維
5	1	14	1	1	3	1021	418	29	24	0	垃
4	1	14	1	2	0	832	458	150	24	-1	
5	1	14	1	2	1	832	459	43	23	55	松
5	1	14	1	2	2	877	459	14	23	0	徊
5	1	14	1	2	3	892	459	14	21	28	有
5	1	14	1	2	4	908	458	29	24	7	有
5	1	14	1	2	5	939	459	13	22	76	人
5	1	14	1	2	6	953	458	29	23	0	瞳
4	1	14	1	3	0	802	499	88	23	-1	
5	1	14	1	3	1	802	500	13	22	56	有
5	1	14	1	3	2	817	499	14	23	31	處
5	1	14	1	3	3	832	499	44	23	0	類
5	1	14	1	3	4	877	499	13	23	0	講
4	1	14	1	4	0	636	529	823	25	-1	
5	1	14	1	4	1	636	531	29	23	5	相
5	1	14	1	4	2	719	531	44	23	23	下
5	1	14	1	4	3	764	532	14	22	0	加
5	1	14	1	4	4	832	531	43	23	0	譯
5	1	14	1	4	5	877	531	14	23	0	點
5	1	14	1	4	6	945	530	59	24	0	泥
5	1	14	1	4	7	0	0	1654	2339	0	芋
5	1	14	1	4	8	1058	531	28	23	10	六
5	1	14	1	4	9	1089	531	29	22	0	由
5	1	14	1	4	10	1203	530	29	23	30	了
5	1	14	1	4	11	0	0	1654	2339	0	單
5	1	14	1	4	12	1256	530	43	23	0	謊
5	1	14	1	4	13	1301	530	43	23	0	霹
5	1	14	1	4	14	0	0	1654	2339	0	謙
5	1	14	1	4	15	1398	529	45	24	70	讓
5	1	14	1	4	16	1445	529	14	23	0	莫
4	1	14	1	5	0	575	561	883	26	-1	
5	1	14	1	5	1	575	563	74	24	19	入
5	1	14	1	5	2	651	564	65	22	22	加
5	1	14	1	5	3	719	563	96	23	0	加
5	1	14	1	5	4	817	563	73	23	0	加
5	1	14	1	5	5	915	564	13	21	79	>
5	1	14	1	5	6	930	563	74	23	0	汪
5	1	14	1	5	7	1028	562	59	24	0	品
5	1	14	1	5	8	1089	562	29	24	0	丰
5	1	14	1	5	9	1142	563	13	22	46	>
5	1	14	1	5	10	1158	564	12	21	26	加
5	1	14	1	5	11	1173	562	13	23	34	要
5	1	14	1	5	12	1188	562	28	23	0	戰
5	1	14	1	5	13	1219	564	12	21	26	元
5	1	14	1	5	14	0	0	1654	2339	10	。
5	1	14	1	5	15	1256	562	13	23	87	人
5	1	14	1	5	16	1271	563	13	22	23	也
5	1	14	1	5	17	1286	562	58	23	0	遇
5	1	14	1	5	18	0	0	1654	2339	17	元
5	1	14	1	5	19	1368	562	13	22	17	人
5	1	14	1	5	20	1383	563	13	21	36	所
5	1	14	1	5	21	1398	561	13	24	0	寺
5	1	14	1	5	22	1414	563	13	22	24	昌
5	1	14	1	5	23	1429	561	29	24	10	二
5	1	14	1	5	24	0	0	1654	2339	71	元
4	1	14	1	6	0	188	622	1270	25	-1	
5	1	14	1	6	1	188	623	29	23	0	科
5	1	14	1	6	2	218	624	28	22	0	促
5	1	14	1	6	3	249	623	120	23	19	二
5	1	14	1	6	4	374	622	42	24	8	站
5	1	14	1	6	5	417	623	14	23	63	要
5	1	14	1	6	6	433	622	35	24	37	和
5	1	14	1	6	7	470	623	28	22	0	下
5	1	14	1	6	8	500	623	20	23	0	媽
5	1	14	1	6	9	658	635	7	3	39	和
5	1	14	1	6	10	732	625	16	18	42	只
5	1	14	1	6	11	750	625	28	22	47	人
5	1	14	1	6	12	849	624	46	23	36	90
5	1	14	1	6	13	958	624	46	23	52	3158
5	1	14	1	6	14	1063	624	54	23	34	202,662
5	1	14	1	6	15	1178	624	54	22	15	交友
5	1	14	1	6	16	1299	623	44	23	69	21019
5	1	14	1	6	17	1403	623	55	23	24	277,093
4	1	14	1	7	0	187	680	1272	24	-1	
5	1	14	1	7	1	187	681	44	23	0	屁
5	1	14	1	7	2	234	681	28	23	0	籃
5	1	14	1	7	3	264	681	30	23	0	泗
5	1	14	1	7	4	295	681	29	23	0	沖
5	1	14	1	7	5	326	681	28	23	0	嘶
5	1	14	1	7	6	356	681	25	23	0	聲
5	1	14	1	7	7	384	680	28	23	0	蠅
5	1	14	1	7	8	414	681	28	23	0	區
5	1	14	1	7	9	445	681	20	23	0	鑾
5	1	14	1	7	10	467	681	13	22	0	襄
5	1	14	1	7	11	482	681	32	23	0	人
5	1	14	1	7	12	657	693	8	3	49	'
5	1	14	1	7	13	770	693	8	2	49	'
5	1	14	1	7	14	953	682	56	22	61	(16210
5	1	14	1	7	15	1072	682	45	22	90	16210
5	1	14	1	7	16	1224	692	8	2	34	~
5	1	14	1	7	17	1336	692	8	2	69	-
5	1	14	1	7	18	1451	691	8	3	68	~
4	1	14	1	8	0	187	738	1271	25	-1	
5	1	14	1	8	1	187	739	29	22	58	說
5	1	14	1	8	2	218	740	28	21	5	才
5	1	14	1	8	3	249	738	28	23	0	/
5	1	14	1	8	4	0	0	1654	2339	53	年
5	1	14	1	8	5	280	748	12	3	54	-
5	1	14	1	8	6	295	740	28	21	70	且
5	1	14	1	8	7	328	738	42	24	75	時
5	1	14	1	8	8	371	739	14	22	0	戀
5	1	14	1	8	9	732	740	19	23	26	吃
5	1	14	1	8	10	753	740	24	19	22	全
5	1	14	1	8	11	848	740	46	23	40	人
5	1	14	1	8	12	959	740	44	22	66	18948
