
货		年 初 数	期 未 敬	丨 负 债 及 所 有 者 权 益		| 年 初 数	期未 数	
流 动 资 产 :	车 李 。	沥	【	流 动 负 债	| 50	E	才	
丨 货 币 资 金	王	2, 964, 283. 78	1 973,120.07	短 期 借 款	 51	2,409,646. 06	3,233,312.60	
短 期 投 资	3	朋	【	应 付 祠 据	| 52	由	日	
应 收 禀 据	4	【	【	应 付 账 款	叨	1 903,208.45	2,629,937.96	
应 收 股 利	『 林,	【	【	预 收 账 款	 54	387,156.30	316,243.21	
应 收 利 息 ˇ	 6	|	【	应 付 工 资	吗	ˇ 598, 067.67	 265,.093.51	
应 收 账 款	中 技 -	13,532,605.96	15,639,863.50	应 付 福 利 费	‖ 56	木n	e	
湘 : 坏 账 准 备	中 猪 ,	E	E	| 应 付 股 利	 57	【	里 。	
| 应 收 账 款 洗 值	 9	13,532,605.96	15,639, 863扁	| 应 交 税 金	‖ 58	256,013 58	237,271.51	
其 他 应 收 款	『 10	591, 478.00	780, 198. 70	其 他 应 交 款	‖ 59	【	【	
预 付 账 款	 11	3,592,693, 16	多 702,380.30	其 他 应 付 款	‖ 60	2,500,000.00	2,800,000.00	
丨 应 收 补 贴 款	| 珂	E	月	预 提 费 用	61	| 国 国	园 吴 吴	
存 “ 责	『 振	3,415 111,21	5, 696, 450.60	预 计 负 倪	| 62	【	厂	
丨 待 据 费 用	| 4	围	E	丨 逻 延 收 英	 63	里 一 。	【	
一 年 内 到 朝 的 长 期 债 权 投 资	『 15	里	界	一 年 内 到 朝 的 长 期 负 债	| 64	里	【	
其 他 流 动 资 产	 16	E	| 命	其 他 流 动 负 侦	‖ 65	唐	【	
流 动 资 产 合 计	才	24,096,172.11	28,792,013.17	流 动 负 倪 合 计	『 66	8,054, 092. 06	9,471,858.79	
长 期 投 资 :	| 18	E	干	长 期 负 债 :	| 67	国 园 吴	国 吴 园 吴 吴	
长 期 股 权 投 资	| 19	林	木	长 朝 信 款	| 68	E	【	
长 期 债 权 投 资	| 20	| 吴 命 吴 吴 园 吴	E	应 付 债 券	| 69	【	月	
# 合 苜 价 羟	王 数	E	E	长 期 应 付 款	| 70	月	【	
才	| 22	E	E	专 项 应 付 款	一 鞘	国 园 吴	【	
E	| 23	E	E	其 他 长 期 贵 债 M	| 仁	【	浩	
长 期 投 资 合 计	| 24	e	E	共 中 : 律 转 销 汇 兑 收 英	 73	E	| 四 吴 圆	
图 定 资 产 :	| 25	E	| 园 命 国 园 园 吴	长 期 负 债 合 计	| 74	车	界	
闵 定 资 产 原 价	| 26	7,612,840.24	9,407,628.13	递 延 税 项 :	| 5	E	渡	
湘 : 累 计 折 旧	卜 邹	1.758,942.60	2,526,452. 60	递 延 税 款 货 项	 76	国 吴	E	
固 定 资 产 净 值	| 28	5 853,897. 64	6,881, 175.53	负 债 合 计	『 李	8, 054 092.06	9, 471,858. 79	
凑 : 固 定 资 产 减 值 准 备	| 29	技	E	# 少 数 股 东 权 范	| 78	E	E	
闸 定 资 产 净 额	| 30	5 853,897. 64	6,881, 175.53	l历有者权简 ( 或 股 东 权 盐 :	| 79	车	【	
工 程 物 资	| 31	王	E	实 收 资 本 ( 或 股 本 )	| 80	3,000,000.00、	3000,000.00	
在 建 工 程	| 32	E	E	中 方 投 资 ( 非 人 民 币 本 期 札 金 额 : )	| 81	国 园 园 咤	国	
闷 定 资 产 消 理	车	E	E	外 方 投 资 ( 非 人 民 币 木 朝 未 金 额 :	| 82	命 命 命 园 圆	e	
才	| 34	E	E	湘 : 已 归 还 投 资	| 83	E	E	
E	| 35	里	车	丨 实 收 资 本 《 或 股 本 》 浑 额	| 84	3,000, 000.00	3, 000,000.00	
固 定 资 产 合 计	| 36	 5 853, 897. 64	6,881 175.53	资 札 公 积	| 85	命 吴 吴	E ,	
无 形 资 产 及 具 他 资 产 :	E 37	| 国 命 命 国 吴	| 国 命 命 国 善	敦 余 公 积	| 86	| 命 命 命 国 吊	| 命 命 命 园 园	
无 形 资 产	『 E	E	E	其 中 : 法 定 孩 余 公 积	1 87,	E	E	
长 期 待 据 费 用	| 39	沥	E	法 定 公 益 金	| 88	E	E	
_ 具 他 长 期 资 产	40	吴 吴 吴 吴	E	佐 感 孪 余 公 积	| 89	E	沥 河	
其 中 : 等 转 销 汇 兑 损 失	1 牵	f 。	E	傅 备 基 金	| 90	国 园 国	车	
林	| 4	王 l	吴	企 业 发 展 基 伊	| 91	国	1	
河 刑 洁	| 姐	量	E	利 润 归 还 投 资	| 92	国 园 吴	国 园 吴 国	
无 形 资 产 及 其 他 资 产 合 计	| 4	【	【	本 年 利 润	| 93	R 颗	月 。 e	
| 途 延 税 项 :	| 45	E ,	-	* 札 确 认 的 投 资 损 失 《 以 “-“ 号 址 列 )	| 94	E	。	
逻 延 税 款 倡 项	| 46	F	一 e	 未 分 纫 利 润	| 85	18,895, 977.69	23,201,329.91	
。	| 扎	林	E	货 币 换 算 荣 颜	| 96	吴	玟	
河	| 48	车	E	所 有 者 权 益 ( 或 股 东 权 益 〕 合 计	| 97、	21,895,977.69	26,201,329.91	
资 产 总 计	| 49	29,950, 069. 75	35,673,188. 70	负 值 及 所 有 者 权 益 ( 或 股 东 权 益 ) 总 计	| 98	“29,950, 069.75	35, 673, 188.70	
