
| 资产		年 初 数	期 末 数	| 负债 及 所 有 者 权益		年 初 数	期 末 数	
流动 资产 :	一	一	|	流动 负债	一	一		
| 货币 资金	一	2, 964, 283. 78	1, 973, 120. 07	短期 借款	| 5	2, 409, 646. 06	3, 233, 312. 60	
短期 投资	| 3	人	|	应 付 梨 据	| 5	|	|	
应 收 莫 据	一 		|	应 付 账 款	| 5	1 903, 208. 45	2,629,937.96	
应 收 股利	一	|	一	预收 账 款	| 5	387, 156. 30	316, 243. 21	
应 收 利息 “	| 6	网	天	应 付 工资	| 是	598,067. 67	| 255,093.51	
应 收 账 款	| 到	13, 532, 605. 96	15, 639, 863. 50	应 付 福利 费	| 56	一	5 。	
减 : 坏账 准备	共 汪	一	和	| 应 付 股利	| 57	一	一	
| 应 收 账 款 净 值	| 9	13, 532, 605. 96	15, 639， 863.50	| 应 交 税 金	| ss	256, 013. 58	237, 271. 51	
其 他 应 收 款	| lo	591, 478. 00	780, 198. 70	其 他 应 交 款	| 59	|	|	
预付 账 款	| 下，	3, 592, 693,. 16	生 702, 380.30	其 他 应 付款	| 6o	2, 500, 000. 00	2, 800, 000. 00	
| 应 收 补贴 款	|		-	预 提 费用	一 号	|	四	
存货	| 1	3, 415, 111. 21	5, 696, 450. 60	预计 负债	| 62	一	一	
| 待 捧 费 用	|	和	5	| 递 延 收益	| 63	jj”	|	
一 第 内 到 期 的 长 期 俩 权 投资	| 5	一	-	一 年 内 到 期 的 长 期 负债	一	=  _	一	
其 他 流动 资产	| 16	|	一	其 他 流动 负债	| 65	|	一	
流动 资产 合计	于	24, 096, 172. 11	28, 792, 013. 17	流动 负债 合计	图	8, 054, 092. 06	9,471 858. 79	
长 期 投资 :	| 8	一 -	|	长 期 负债 :	| 67			
长 期 股权 投资	一	-	一	长 期 借款	| ss	一	一	
长 期 债权 投资	| 20	 -	|	应 付 债券	| 69	一	一	
二 合并 价差	j	|	一	长 期 应 付款	| 70	|	一	
)	| 2	|	|	专项 应 付款	一		一	
一	一	|	|	其 他 长 期 负债	| 了 2	-一		
长 期 投资 合计	| 24.	一  '	一  '	其 中 ， 待 转 销 汇兑 收益	一	一	一	
国定 资产 :	| 25	-	|	长 期 负债 合计	| 7	- 1	一  '	
固定 资产 原价	| 26	7, 612, 840. 24	9, 407, 628. 13	递 延 税 项 :	| 5	|	|	
减 : 黑 计 折旧	|	1 758, 942. 60	2, 526, 452. 60	递 延 税 款 贷 项	图		一	
固定 资产 净值	一 品	5, 853, 897. 64	6, 881, 175. 53	负债 合计	一 3	8, 054, 092. 06	9, 471 858. 79	
减 : 固定 资产 减 值 准备	| 29	本	9	# 少 数 股东 权益	| ?8	|	一	
固定 资产 净 额	一	5, 853, 897. 64	6, 881, 175. 53	| 所 有 者 权益 (或 股东 权益 ) :	| ?9	- _ -	和	
工程 物资	一	|	|	实 收 资本 〈 或 股本 )	| so	3, 000, 000.00	3 000,000.00	
在 建 工程	| :2	一	|	中 方 投资 〈 非 人 民 币 本 期 末 人 金额 : )	| s		是	
固定 资产 消 理	一 加	|	一	外 方 投资 〈 非 人 民 币 本 期 末 人 金额 ; )	一 名	|		
|	j 3	|	|	减 : 已 归还 投资	| sa	|	一	
|	| 35	下	|	| 实 收 资本 《或 股本 ) 净 额	| 8	3, 000, 000. 00	3, 000, 000. 00	
固定 资产 合计	| 36	| 5, 853, 897. 64	6, 881, 175. 53	资本 公 积	| 85		了 - -	
无 形 资 产 及 其 他 资产 :	一 号	|	|	于 诊治	| 6	|	|	
无 形 资产	| 本	一	一	其 中 : 法 定居 余 公 积	87 ，		|	
长 期 待 排 费用	| 39	- -	|	法 定 公益 金	| ss	一	一	
| 其 他 长 期 资产	| ao	和	|	任意 基 余 公 积	| 89	|		
其 中 : 待 转 销 汇兑 损失		和	|	储备 基金	| 90	四	-  _-	
|	一 6	一	|	企业 发 展 基金	| 9	加	|	
- |	| 3	|	|	利润 归还 投资	| 9			
无 形 资产 及 其 他 资产 合计	一 证	|	一  '	本 年 利润	| 9	|	|	
| 递 延 税 项 :	| 45	-	_-	*# 赤 确认 的 投资 损失 〈 以 “-” 号 填 列 )	| 9	|	和	
递 延 税 款 借 项	| 46	-	由	| 未 分 配 利润	| 95	18, 895, 977. 69	23, 201, 329. 91	
|	| 27	让	和	货币 换算 差额	| 9%	|	站	
- 一	一 出	- -	_	所 有 者 权益 〈 或 股东 权益 ) 合计	| 97	21, 895, 977. 69	26, 201, 329. 91	
资产 总 计	| 439	29, 950, 069. 75	35, 673, 188. 70	负 俩 及 所 有 者 权益 (或 股东 权益 ) 总 计	| %8	29, 950, 069. 75	35, 673, 188. 70	
