
	行 次	本 年 累计 数						
一 、 主 营业 务 收入	1	53, 687, 315. 64						
其 中 自 营 出 口 业务 收入	2	53, 687, 315. 64						
减 : 主 营业 务 成 本	3	35, 863, 126. 84						
其 中 : 自 营 出 口 业务 成 本	4	35, 863, 126. 84						
主 营业 务 税金 及 附加		209, 227. 19						
二 、 主 营业 务 利润 〈 亏 损 以 “一 ”号 填 列 )	6	17, 614, 961. 61						
加 : 其 他 业务 利润 〈 亏 损 以 “一 ”号 填 列 )	7							
减 : 营业 费用	8	7, 254, 447. 55						
管理 费用	9	5, 515, 555. 54						
财务 费用	10	245, 805. 50						
三 、 营 业 利 润 〈 亏 损 以 “一 ”号 填 列 )		4, 599, 153. 02						
加 : 投资 收益 〈 损 失 以 “一 ”号 填 列 )	2							
补贴 收入	13							
营业 外 收入	14							
减 : 营业 外 支出	1							
四 、 利 润 总 额 〈 亏 损 以 “一 ”号 填 列 )	16	4 599, 153. 02						
减 : 所 得 税		293, 800. 80						
五 、 净 利润 〈 亏 损 以 “一 ”号 填 列 )	18	4, 305, 352. 22						
加 : 年 初 未 分 配 利润	19	18, 895, 977. 69						
其 他 转 入	20							
六 、 可 供 分 配 的 利润	21	23, 201, 329. 91						
减 : 提取 法 定 阶 余 公 积	22							
提取 法 定 公 益 金	23							
提取 职工 奖励 及 福利 基金	24							
提取 储备 基金	2							
-~ 提取 企业 发 展 基金	26							
利润 归还 投资								
七 、 可 供 投资 者 分 配 的 利润	28	23, 201, 329. 91						
减 : 应 付 优先 股 股利	29							
提取 任意 盈余 公 积	30							
应 付 股利	31							
转 作 资 本 (或 股本 ) 的 股利	32							
八 、 未 分 配 利润	33	23, 201, 329. 91						
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
