level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	81	2142	43	27	-1	
3	1	1	1	0	0	81	2142	43	27	-1	
4	1	1	1	1	0	81	2142	43	27	-1	
5	1	1	1	1	1	81	2142	43	27	92	30
2	1	2	0	0	0	192	299	317	40	-1	
3	1	2	1	0	0	192	299	317	40	-1	
4	1	2	1	1	0	192	299	317	40	-1	
5	1	2	1	1	1	192	300	36	38	77	綜
5	1	2	1	1	2	238	299	61	40	92	合
5	1	2	1	1	3	296	300	26	39	96	權
5	1	2	1	1	4	331	300	37	36	90	盜
5	1	2	1	1	5	380	301	36	37	93	變
5	1	2	1	1	6	426	299	83	39	94	動
5	1	2	1	1	7	0	0	1654	2339	93	表
2	1	3	0	0	0	190	362	399	24	-1	
3	1	3	1	0	0	190	362	399	24	-1	
4	1	3	1	1	0	190	362	399	24	-1	
5	1	3	1	1	1	190	362	22	24	95	截
5	1	3	1	1	2	215	365	47	20	96	至
5	1	3	1	1	3	0	0	1654	2339	92	二
5	1	3	1	1	4	266	364	22	22	92	零
5	1	3	1	1	5	292	364	32	22	96	一
5	1	3	1	1	6	326	364	13	22	96	八
5	1	3	1	1	7	342	363	21	23	96	年
5	1	3	1	1	8	367	363	23	22	96	六
5	1	3	1	1	9	394	363	18	22	96	月
5	1	3	1	1	10	418	365	22	19	96	三
5	1	3	1	1	11	444	362	21	24	96	十
5	1	3	1	1	12	472	365	16	19	96	日
5	1	3	1	1	13	494	363	22	23	96	止
5	1	3	1	1	14	519	363	33	23	96	六
5	1	3	1	1	15	552	363	37	23	96	個
5	1	3	1	1	16	0	0	1654	2339	96	月
2	1	4	0	0	0	186	622	333	139	-1	
3	1	4	1	0	0	186	622	333	139	-1	
4	1	4	1	1	0	187	622	332	24	-1	
5	1	4	1	1	1	187	622	29	23	43	奼
5	1	4	1	1	2	218	624	28	21	20	雰
5	1	4	1	1	3	248	622	44	24	75	恃
5	1	4	1	1	4	294	623	26	22	70	十
5	1	4	1	1	5	324	622	28	24	22	肺
5	1	4	1	1	6	355	624	27	20	84	十
5	1	4	1	1	7	386	622	13	23	77	昨
5	1	4	1	1	8	401	622	14	23	63	炳
5	1	4	1	1	9	416	622	36	23	63	論
5	1	4	1	1	10	454	622	28	23	38	綺
5	1	4	1	1	11	0	0	1654	2339	35	闌
5	1	4	1	1	12	485	623	13	21	72	&
5	1	4	1	1	13	499	622	20	23	42	輪
4	1	4	1	2	0	187	680	327	24	-1	
5	1	4	1	2	1	187	680	43	23	0	鼴
5	1	4	1	2	2	233	680	29	23	63	鰍
5	1	4	1	2	3	263	680	29	23	60	關
5	1	4	1	2	4	294	680	28	23	53	播
5	1	4	1	2	5	324	680	29	23	72	鯧
5	1	4	1	2	6	354	680	25	23	78	賽
5	1	4	1	2	7	382	680	29	23	48	嘴
5	1	4	1	2	8	413	680	29	23	77	嶠
5	1	4	1	2	9	444	680	20	23	53	鏗
5	1	4	1	2	10	466	680	29	24	7	駿
5	1	4	1	2	11	496	687	6	14	42	帕
5	1	4	1	2	12	503	680	11	23	77	﹚
4	1	4	1	3	0	186	738	198	23	-1	
5	1	4	1	3	1	186	738	45	23	54	奼
5	1	4	1	3	2	233	748	12	2	48	投
5	1	4	1	3	3	248	738	28	23	52	扇
5	1	4	1	3	4	279	739	26	22	73	一
5	1	4	1	3	5	309	740	26	20	40	月
5	1	4	1	3	6	339	738	13	23	39	胡
5	1	4	1	3	7	354	738	14	23	95	#
5	1	4	1	3	8	369	738	15	23	1	當
2	1	5	0	0	0	186	793	333	248	-1	
3	1	5	1	0	0	186	793	333	248	-1	
4	1	5	1	1	0	186	793	59	23	-1	
5	1	5	1	1	1	186	793	59	23	76	銼
5	1	5	1	1	2	0	0	1654	2339	74	崛
4	1	5	1	2	0	186	825	59	24	-1	
5	1	5	1	2	1	186	825	44	23	67	齁
5	1	5	1	2	2	232	825	13	24	57	鮈
4	1	5	1	3	0	186	856	175	25	-1	
5	1	5	1	3	1	186	856	44	25	68	絕
5	1	5	1	3	2	231	856	45	24	62	鍾
5	1	5	1	3	3	0	0	1654	2339	23	啶
5	1	5	1	3	4	278	857	4	24	96	(
5	1	5	1	3	5	285	857	29	23	24	腕
5	1	5	1	3	6	315	857	29	23	32	曆
5	1	5	1	3	7	347	857	4	24	33	圓
