level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	81	2142	43	28	-1	
3	1	1	1	0	0	81	2142	43	28	-1	
4	1	1	1	1	0	81	2142	43	28	-1	
5	1	1	1	1	1	81	2142	43	28	82	30
2	1	2	0	0	0	192	300	316	40	-1	
3	1	2	1	0	0	192	300	316	40	-1	
4	1	2	1	1	0	192	300	316	40	-1	
5	1	2	1	1	1	192	300	84	40	74	御
5	1	2	1	1	2	284	301	15	39	96	合
5	1	2	1	1	3	296	302	73	38	95	权
5	1	2	1	1	4	381	302	35	38	96	益
5	1	2	1	1	5	0	0	1654	2339	91	变
5	1	2	1	1	6	426	301	82	38	94	动
5	1	2	1	1	7	0	0	1654	2339	81	表
2	1	3	0	0	0	190	363	398	24	-1	
3	1	3	1	0	0	190	363	398	24	-1	
4	1	3	1	1	0	190	363	398	24	-1	
5	1	3	1	1	1	190	364	22	23	82	截
5	1	3	1	1	2	215	366	22	20	96	至
5	1	3	1	1	3	240	370	22	14	96	二
5	1	3	1	1	4	266	365	22	22	93	零
5	1	3	1	1	5	292	366	33	21	96	一
5	1	3	1	1	6	327	366	12	21	96	八
5	1	3	1	1	7	342	364	22	23	96	年
5	1	3	1	1	8	368	364	44	23	96	六
5	1	3	1	1	9	0	0	1654	2339	92	月
5	1	3	1	1	10	418	367	23	18	93	三
5	1	3	1	1	11	444	363	43	24	96	十
5	1	3	1	1	12	0	0	1654	2339	97	日
5	1	3	1	1	13	494	365	22	22	96	止
5	1	3	1	1	14	519	364	32	23	96	六
5	1	3	1	1	15	551	364	37	23	95	个
5	1	3	1	1	16	0	0	1654	2339	96	月
2	1	4	0	0	0	187	623	332	139	-1	
3	1	4	1	0	0	187	623	332	139	-1	
4	1	4	1	1	0	187	623	332	24	-1	
5	1	4	1	1	1	187	623	14	23	78	旅
5	1	4	1	1	2	203	628	13	14	49	二
5	1	4	1	1	3	218	625	28	21	66	雹
5	1	4	1	1	4	248	623	14	22	0	丁
5	1	4	1	1	5	264	623	13	24	93	年
5	1	4	1	1	6	279	623	13	24	93	十
5	1	4	1	1	7	294	625	27	21	86	二
5	1	4	1	1	8	325	627	13	17	90	月
5	1	4	1	1	9	0	0	1654	2339	0	三
5	1	4	1	1	10	340	623	13	24	33	十
5	1	4	1	1	11	356	633	12	3	90	一
5	1	4	1	1	12	373	625	9	21	67	日
