level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	81	2142	43	28	-1	
3	1	1	1	0	0	81	2142	43	28	-1	
4	1	1	1	1	0	81	2142	43	28	-1	
5	1	1	1	1	1	81	2142	43	28	88	30
2	1	2	0	0	0	192	300	316	40	-1	
3	1	2	1	0	0	192	300	316	40	-1	
4	1	2	1	1	0	192	300	316	40	-1	
5	1	2	1	1	1	192	300	84	40	96	綜合
5	1	2	1	1	2	284	301	85	39	95	權益
5	1	2	1	1	3	381	301	81	39	94	變動
5	1	2	1	1	4	473	301	35	38	96	表
2	1	3	0	0	0	190	363	398	24	-1	
3	1	3	1	0	0	190	363	398	24	-1	
4	1	3	1	1	0	190	363	398	24	-1	
5	1	3	1	1	1	190	364	47	23	91	截至
5	1	3	1	1	2	240	370	22	14	93	二
5	1	3	1	1	3	266	365	22	22	92	零
5	1	3	1	1	4	292	366	33	21	96	一
5	1	3	1	1	5	327	366	12	21	96	八
5	1	3	1	1	6	342	364	22	23	96	年
5	1	3	1	1	7	368	365	22	21	95	六
5	1	3	1	1	8	394	364	18	23	96	月
5	1	3	1	1	9	418	367	23	18	96	三
5	1	3	1	1	10	444	363	22	24	96	十
5	1	3	1	1	11	472	365	44	22	93	日
5	1	3	1	1	12	0	0	1654	2339	93	止
5	1	3	1	1	13	519	365	22	21	93	六
5	1	3	1	1	14	544	364	44	23	96	個
5	1	3	1	1	15	0	0	1654	2339	96	月
2	1	4	0	0	0	187	623	332	139	-1	
3	1	4	1	0	0	187	623	332	139	-1	
4	1	4	1	1	0	187	623	332	24	-1	
5	1	4	1	1	1	187	623	29	23	34	論
5	1	4	1	1	2	218	625	14	21	81	夫
5	1	4	1	1	3	234	623	28	22	7	+
5	1	4	1	1	4	264	623	28	24	84	年
5	1	4	1	1	5	294	628	13	14	9	鬧
5	1	4	1	1	6	310	625	28	21	55	肝
5	1	4	1	1	7	340	623	42	24	12	十
5	1	4	1	1	8	387	623	28	23	43	出
5	1	4	1	1	9	416	623	14	23	0	弦
5	1	4	1	1	10	432	624	5	22	54	(
5	1	4	1	1	11	439	623	28	23	0	嫡
5	1	4	1	1	12	469	623	44	23	0	魯
5	1	4	1	1	13	515	624	4	22	0	熙
4	1	4	1	2	0	187	681	326	24	-1	
5	1	4	1	2	1	187	681	29	23	0	綢
5	1	4	1	2	2	218	681	43	23	0	綢
