level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	83	2143	42	27	-1	
3	1	1	1	0	0	83	2143	42	27	-1	
4	1	1	1	1	0	83	2143	42	27	-1	
5	1	1	1	1	1	83	2143	42	27	55	30
2	1	2	0	0	0	190	363	400	24	-1	
3	1	2	1	0	0	190	363	400	24	-1	
4	1	2	1	1	0	190	363	400	24	-1	
5	1	2	1	1	1	190	363	48	24	49	截至
5	1	2	1	1	2	241	369	22	15	83	二
5	1	2	1	1	3	267	365	47	22	76	零
5	1	2	1	1	4	0	0	1654	2339	96	一
5	1	2	1	1	5	318	365	22	21	96	人
5	1	2	1	1	6	344	363	21	23	52	年
5	1	2	1	1	7	369	364	22	22	96	六
5	1	2	1	1	8	396	364	17	22	96	月
5	1	2	1	1	9	419	366	22	18	88	三
5	1	2	1	1	10	445	363	43	23	96	十
5	1	2	1	1	11	494	364	23	22	95	日
5	1	2	1	1	12	0	0	1654	2339	55	止
5	1	2	1	1	13	520	364	22	21	96	六
5	1	2	1	1	14	545	363	22	23	86	个
5	1	2	1	1	15	572	363	18	23	64	月
2	1	3	0	0	0	582	438	878	11	-1	
3	1	3	1	0	0	582	438	878	11	-1	
4	1	3	1	1	0	582	438	878	11	-1	
5	1	3	1	1	1	582	438	878	11	95	 
2	1	4	0	0	0	582	479	651	9	-1	
3	1	4	1	0	0	582	479	651	9	-1	
4	1	4	1	1	0	582	479	651	9	-1	
5	1	4	1	1	1	582	479	651	9	95	 
2	1	5	0	0	0	581	648	878	13	-1	
3	1	5	1	0	0	581	648	878	13	-1	
4	1	5	1	1	0	581	648	878	13	-1	
5	1	5	1	1	1	581	648	878	13	95	 
2	1	6	0	0	0	581	706	878	13	-1	
3	1	6	1	0	0	581	706	878	13	-1	
4	1	6	1	1	0	581	706	878	13	-1	
5	1	6	1	1	1	581	706	878	13	95	 
2	1	7	0	0	0	581	764	878	13	-1	
3	1	7	1	0	0	581	764	878	13	-1	
4	1	7	1	1	0	581	764	878	13	-1	
5	1	7	1	1	1	581	764	878	13	95	 
2	1	8	0	0	0	364	891	27	54	-1	
3	1	8	1	0	0	364	891	27	54	-1	
4	1	8	1	1	0	364	891	27	54	-1	
5	1	8	1	1	1	364	891	20	54	95	  
5	1	8	1	1	2	385	926	6	8	95	 
2	1	9	0	0	0	579	1043	878	13	-1	
3	1	9	1	0	0	579	1043	878	13	-1	
4	1	9	1	1	0	579	1043	878	13	-1	
5	1	9	1	1	1	579	1043	878	13	95	 
2	1	10	0	0	0	579	1098	878	13	-1	
3	1	10	1	0	0	579	1098	878	13	-1	
4	1	10	1	1	0	579	1098	878	13	-1	
5	1	10	1	1	1	579	1098	878	13	95	 
2	1	11	0	0	0	578	1217	878	13	-1	
3	1	11	1	0	0	578	1217	878	13	-1	
4	1	11	1	1	0	578	1217	878	13	-1	
5	1	11	1	1	1	578	1217	878	13	95	 
2	1	12	0	0	0	575	1820	878	13	-1	
3	1	12	1	0	0	575	1820	878	13	-1	
4	1	12	1	1	0	575	1820	878	13	-1	
5	1	12	1	1	1	575	1820	878	13	95	 
2	1	13	0	0	0	574	1907	879	13	-1	
3	1	13	1	0	0	574	1907	879	13	-1	
4	1	13	1	1	0	574	1907	879	13	-1	
5	1	13	1	1	1	574	1907	879	13	95	 
2	1	14	0	0	0	182	418	1280	1543	-1	
3	1	14	1	0	0	182	418	1280	1543	-1	
4	1	14	1	1	0	991	418	59	24	-1	
5	1	14	1	1	1	991	418	14	23	93	未
5	1	14	1	1	2	1007	419	13	22	3	公
5	1	14	1	1	3	1021	418	29	24	0	密
5	1	14	1	1	4	0	0	1654	2339	5	核
4	1	14	1	2	0	832	458	150	24	-1	
5	1	14	1	2	1	832	459	14	23	94	本
5	1	14	1	2	2	848	460	27	22	93	公司
5	1	14	1	2	3	877	459	14	23	47	条
5	1	14	1	2	4	892	458	29	23	0	益
5	1	14	1	2	5	0	0	1654	2339	73	持
5	1	14	1	2	6	923	458	14	24	95	有
5	1	14	1	2	7	939	459	13	22	92	人
5	1	14	1	2	8	953	458	21	23	0	放
5	1	14	1	2	9	973	458	9	23	0	估
4	1	14	1	3	0	802	499	88	23	-1	
5	1	14	1	3	1	802	499	44	23	92	股份
5	1	14	1	3	2	0	0	1654	2339	14	奖
5	1	14	1	3	3	847	499	13	23	47	忆
5	1	14	1	3	4	862	499	28	23	34	计划
4	1	14	1	4	0	636	529	823	25	-1	
5	1	14	1	4	1	636	531	29	23	60	股本
5	1	14	1	4	2	719	531	29	23	82	股本
5	1	14	1	4	3	750	531	28	23	47	溢价
5	1	14	1	4	4	0	0	1654	2339	56	。
5	1	14	1	4	5	832	531	28	23	40	所持
5	1	14	1	4	6	862	531	29	23	15	股
5	1	14	1	4	7	0	0	1654	2339	90	份
5	1	14	1	4	8	945	531	13	22	23	其
5	1	14	1	4	9	960	530	14	24	90	他
5	1	14	1	4	10	976	531	28	23	3	合
5	1	14	1	4	11	0	0	1654	2339	0	备
5	1	14	1	4	12	1058	531	28	23	44	保留
5	1	14	1	4	13	1089	532	14	20	0	季
5	1	14	1	4	14	1105	531	13	22	0	利
5	1	14	1	4	15	1203	530	13	23	78	台
5	1	14	1	4	16	1218	530	14	23	88	计
5	1	14	1	4	17	0	0	1654	2339	32	。
5	1	14	1	4	18	1256	530	13	23	0	非
5	1	14	1	4	19	1270	530	14	23	51	控
5	1	14	1	4	20	1286	530	13	23	30	制
5	1	14	1	4	21	1301	530	14	23	38	性
5	1	14	1	4	22	1316	530	28	23	22	楼
5	1	14	1	4	23	0	0	1654	2339	47	益
5	1	14	1	4	24	1398	529	29	24	1	权益
5	1	14	1	4	25	1429	529	30	23	24	如
5	1	14	1	4	26	0	0	1654	2339	7	额
4	1	14	1	5	0	575	561	883	26	-1	
5	1	14	1	5	1	575	564	13	22	91	人
5	1	14	1	5	2	591	565	12	21	92	民
5	1	14	1	5	3	605	563	14	24	5	囊
5	1	14	1	5	4	621	563	43	24	51	百世
5	1	14	1	5	5	0	0	1654	2339	0	元
5	1	14	1	5	6	688	564	14	22	38	人
5	1	14	1	5	7	704	564	12	22	91	民
5	1	14	1	5	8	719	563	14	23	52	囊
5	1	14	1	5	9	734	564	13	22	82	百
5	1	14	1	5	10	750	563	28	23	4	苏
5	1	14	1	5	11	0	0	1654	2339	86	元
5	1	14	1	5	12	802	564	13	21	64	人
5	1	14	1	5	13	817	564	13	22	92	民
5	1	14	1	5	14	832	563	13	23	0	党
5	1	14	1	5	15	847	564	13	22	69	百
5	1	14	1	5	16	862	563	28	23	0	蕊
5	1	14	1	5	17	0	0	1654	2339	77	元
5	1	14	1	5	18	915	564	13	21	54	人
5	1	14	1	5	19	930	564	13	21	92	民
5	1	14	1	5	20	945	563	13	23	0	囊
5	1	14	1	5	21	961	564	12	22	73	百
5	1	14	1	5	22	975	563	14	23	0	萝
5	1	14	1	5	23	991	564	13	22	92	元
5	1	14	1	5	24	1028	563	28	22	29	人民
5	1	14	1	5	25	1058	562	13	24	0	溃
5	1	14	1	5	26	1073	564	14	22	75	百
5	1	14	1	5	27	1089	562	14	24	0	砚
5	1	14	1	5	28	1105	564	13	21	91	元
5	1	14	1	5	29	1142	563	28	22	30	人民
5	1	14	1	5	30	1173	562	13	23	21	囊
5	1	14	1	5	31	1188	563	13	22	80	百
5	1	14	1	5	32	1203	562	28	23	0	黄
5	1	14	1	5	33	0	0	1654	2339	83	元
5	1	14	1	5	34	1256	562	13	23	59	人
5	1	14	1	5	35	1271	563	13	22	92	民
5	1	14	1	5	36	1286	562	13	23	0	冲
5	1	14	1	5	37	1301	563	13	22	66	百
5	1	14	1	5	38	1316	562	13	23	0	葛
5	1	14	1	5	39	1331	563	13	22	88	元
5	1	14	1	5	40	1368	562	28	22	38	人民
5	1	14	1	5	41	1398	561	13	24	23	囊
5	1	14	1	5	42	1414	563	13	22	87	百
5	1	14	1	5	43	1429	561	14	24	71	其
5	1	14	1	5	44	1445	563	13	21	91	元
4	1	14	1	6	0	188	622	1270	25	-1	
5	1	14	1	6	1	188	623	14	23	0	於
5	1	14	1	6	2	204	627	13	14	55	二
5	1	14	1	6	3	218	624	14	22	0	堆
5	1	14	1	6	4	234	633	12	2	50	一
5	1	14	1	6	5	249	623	29	23	96	七
5	1	14	1	6	6	280	623	13	23	95	年
5	1	14	1	6	7	0	0	1654	2339	96	十
5	1	14	1	6	8	296	627	13	15	78	二
5	1	14	1	6	9	311	624	11	22	93	月
5	1	14	1	6	10	326	626	13	17	94	三
5	1	14	1	6	11	342	623	12	23	96	十
5	1	14	1	6	12	357	633	12	2	83	一
5	1	14	1	6	13	374	625	9	20	43	日
5	1	14	1	6	14	388	623	12	22	90	的
5	1	14	1	6	15	402	622	29	24	92	结
5	1	14	1	6	16	0	0	1654	2339	0	嫁
5	1	14	1	6	17	433	623	4	23	88	(
5	1	14	1	6	18	440	623	12	22	92	如
5	1	14	1	6	19	455	622	27	24	79	前
