level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	83	2143	42	27	-1	
3	1	1	1	0	0	83	2143	42	27	-1	
4	1	1	1	1	0	83	2143	42	27	-1	
5	1	1	1	1	1	83	2143	42	27	42	230
2	1	2	0	0	0	190	363	400	24	-1	
3	1	2	1	0	0	190	363	400	24	-1	
4	1	2	1	1	0	190	363	400	24	-1	
5	1	2	1	1	1	190	363	48	24	95	截至
5	1	2	1	1	2	241	369	22	15	89	二
5	1	2	1	1	3	267	365	22	22	72	零
5	1	2	1	1	4	293	373	21	2	96	一
5	1	2	1	1	5	318	363	47	23	92	八
5	1	2	1	1	6	0	0	1654	2339	96	年
5	1	2	1	1	7	369	364	22	22	96	六
5	1	2	1	1	8	396	364	17	22	96	月
5	1	2	1	1	9	419	366	22	18	90	三
5	1	2	1	1	10	445	363	21	23	84	十
5	1	2	1	1	11	473	365	15	20	96	日
5	1	2	1	1	12	494	364	23	22	15	下
5	1	2	1	1	13	520	364	22	21	0	六
5	1	2	1	1	14	545	363	22	23	96	個
5	1	2	1	1	15	572	363	18	23	96	月
2	1	3	0	0	0	582	438	878	11	-1	
3	1	3	1	0	0	582	438	878	11	-1	
4	1	3	1	1	0	582	438	878	11	-1	
5	1	3	1	1	1	582	438	878	11	95	 
2	1	4	0	0	0	582	479	651	9	-1	
3	1	4	1	0	0	582	479	651	9	-1	
4	1	4	1	1	0	582	479	651	9	-1	
5	1	4	1	1	1	582	479	651	9	95	 
2	1	5	0	0	0	581	648	878	13	-1	
3	1	5	1	0	0	581	648	878	13	-1	
4	1	5	1	1	0	581	648	878	13	-1	
5	1	5	1	1	1	581	648	878	13	95	 
2	1	6	0	0	0	581	706	878	13	-1	
3	1	6	1	0	0	581	706	878	13	-1	
4	1	6	1	1	0	581	706	878	13	-1	
5	1	6	1	1	1	581	706	878	13	95	 
2	1	7	0	0	0	581	764	878	13	-1	
3	1	7	1	0	0	581	764	878	13	-1	
4	1	7	1	1	0	581	764	878	13	-1	
5	1	7	1	1	1	581	764	878	13	95	 
2	1	8	0	0	0	364	891	27	54	-1	
3	1	8	1	0	0	364	891	27	54	-1	
4	1	8	1	1	0	364	891	27	54	-1	
5	1	8	1	1	1	364	891	20	54	95	  
5	1	8	1	1	2	385	926	6	8	95	 
2	1	9	0	0	0	579	1043	878	13	-1	
3	1	9	1	0	0	579	1043	878	13	-1	
4	1	9	1	1	0	579	1043	878	13	-1	
5	1	9	1	1	1	579	1043	878	13	95	 
2	1	10	0	0	0	579	1098	878	13	-1	
3	1	10	1	0	0	579	1098	878	13	-1	
4	1	10	1	1	0	579	1098	878	13	-1	
5	1	10	1	1	1	579	1098	878	13	95	 
2	1	11	0	0	0	578	1217	878	13	-1	
3	1	11	1	0	0	578	1217	878	13	-1	
4	1	11	1	1	0	578	1217	878	13	-1	
5	1	11	1	1	1	578	1217	878	13	95	 
2	1	12	0	0	0	575	1820	878	13	-1	
3	1	12	1	0	0	575	1820	878	13	-1	
4	1	12	1	1	0	575	1820	878	13	-1	
5	1	12	1	1	1	575	1820	878	13	95	 
2	1	13	0	0	0	574	1907	879	13	-1	
3	1	13	1	0	0	574	1907	879	13	-1	
4	1	13	1	1	0	574	1907	879	13	-1	
5	1	13	1	1	1	574	1907	879	13	95	 
2	1	14	0	0	0	182	418	1280	1543	-1	
3	1	14	1	0	0	182	418	1280	1543	-1	
4	1	14	1	1	0	991	418	59	24	-1	
5	1	14	1	1	1	991	418	29	23	0	薄
5	1	14	1	1	2	1021	418	29	24	0	吉
4	1	14	1	2	0	832	458	150	24	-1	
5	1	14	1	2	1	832	459	43	23	64	松
5	1	14	1	2	2	877	459	14	23	0	彈
5	1	14	1	2	3	892	458	29	23	35	尖
5	1	14	1	2	4	923	458	14	24	0	有
5	1	14	1	2	5	939	459	13	22	93	人
5	1	14	1	2	6	953	458	29	23	0	眶
4	1	14	1	3	0	802	499	88	23	-1	
5	1	14	1	3	1	802	499	29	23	29	只
5	1	14	1	3	2	832	499	44	23	0	此
5	1	14	1	3	3	877	499	13	23	0	講
4	1	14	1	4	0	636	529	823	25	-1	
5	1	14	1	4	1	636	531	29	23	0	腸
5	1	14	1	4	2	0	0	1654	2339	0	。
5	1	14	1	4	3	719	532	14	22	51	有
5	1	14	1	4	4	734	531	14	23	0	縣
5	1	14	1	4	5	750	531	28	23	0	江
5	1	14	1	4	6	0	0	1654	2339	11	。
5	1	14	1	4	7	832	531	28	23	55	朋
5	1	14	1	4	8	862	531	29	23	0	哈
5	1	14	1	4	9	945	530	29	24	0	醫
5	1	14	1	4	10	976	531	28	23	0	角
5	1	14	1	4	11	1058	531	45	23	0	癸
5	1	14	1	4	12	1105	531	13	22	0	會
5	1	14	1	4	13	1203	530	29	23	68	舍
5	1	14	1	4	14	1256	530	28	23	50	大
5	1	14	1	4	15	1286	530	29	23	0	繼
5	1	14	1	4	16	1316	530	13	23	26	上
5	1	14	1	4	17	1331	530	13	22	0	驚
5	1	14	1	4	18	1398	529	45	24	0	芍
5	1	14	1	4	19	1445	529	14	23	0	斷
4	1	14	1	5	0	575	561	883	26	-1	
5	1	14	1	5	1	575	564	13	22	96	人
5	1	14	1	5	2	591	565	12	21	38	也
5	1	14	1	5	3	605	563	44	24	39	天
5	1	14	1	5	4	651	565	13	21	6	元
5	1	14	1	5	5	688	563	45	23	39	條
5	1	14	1	5	6	734	564	13	22	0	站
5	1	14	1	5	7	750	563	13	23	0	攻
5	1	14	1	5	8	765	565	13	21	5	元
5	1	14	1	5	9	802	564	28	22	0	人民
5	1	14	1	5	10	832	563	13	23	0	李
5	1	14	1	5	11	847	564	13	22	0	昌
5	1	14	1	5	12	862	563	13	23	12	划
5	1	14	1	5	13	877	565	13	21	14	元
5	1	14	1	5	14	915	564	28	21	14	人民
5	1	14	1	5	15	945	563	13	23	0	氾
5	1	14	1	5	16	961	564	12	22	0	邊
5	1	14	1	5	17	975	563	14	23	0	划
5	1	14	1	5	18	991	564	13	22	28	元
5	1	14	1	5	19	1028	563	28	22	0	人民
5	1	14	1	5	20	1058	562	13	24	0	池
5	1	14	1	5	21	1073	564	14	22	23	下
5	1	14	1	5	22	1089	562	14	24	0	划
5	1	14	1	5	23	1105	564	13	21	0	元
5	1	14	1	5	24	0	0	1654	2339	5	。
5	1	14	1	5	25	1142	563	28	22	5	人選
5	1	14	1	5	26	1173	562	13	23	0	池
5	1	14	1	5	27	1188	562	43	23	5	目測
5	1	14	1	5	28	0	0	1654	2339	92	元
5	1	14	1	5	29	0	0	1654	2339	38	。
5	1	14	1	5	30	1256	562	13	23	80	人
5	1	14	1	5	31	1271	563	13	22	0	選
5	1	14	1	5	32	1286	562	13	23	0	漲
5	1	14	1	5	33	1301	563	13	22	20	下
5	1	14	1	5	34	1316	562	28	23	0	划
5	1	14	1	5	35	0	0	1654	2339	30	元
5	1	14	1	5	36	0	0	1654	2339	25	。
5	1	14	1	5	37	1368	562	13	22	83	人
5	1	14	1	5	38	1383	563	13	21	0	怕
5	1	14	1	5	39	1398	561	13	24	0	漲
5	1	14	1	5	40	1414	561	44	24	0	攻
5	1	14	1	5	41	0	0	1654	2339	0	元
4	1	14	1	6	0	188	622	1270	25	-1	
5	1	14	1	6	1	188	623	29	23	0	許
5	1	14	1	6	2	218	624	28	22	2	堆
5	1	14	1	6	3	0	0	1654	2339	0	~
5	1	14	1	6	4	249	623	13	22	18	人
5	1	14	1	6	5	265	623	28	23	94	年
5	1	14	1	6	6	0	0	1654	2339	81	上
5	1	14	1	6	7	296	623	58	23	19	用
5	1	14	1	6	8	357	633	12	2	25	十
5	1	14	1	6	9	374	622	42	24	65	時
5	1	14	1	6	10	417	623	14	23	0	繼
5	1	14	1	6	11	433	623	4	23	18	(
5	1	14	1	6	12	440	622	42	24	28	嫡
5	1	14	1	6	13	485	623	29	23	1	鮭
5	1	14	1	6	14	516	623	4	22	1	熙
5	1	14	1	6	15	658	635	7	3	63	~
5	1	14	1	6	16	732	625	20	22	19	狼
5	1	14	1	6	17	754	625	24	18	27	204
5	1	14	1	6	18	849	624	24	23	39	69
5	1	14	1	6	19	874	625	8	18	26	人
5	1	14	1	6	20	883	624	12	21	91	0
5	1	14	1	6	21	958	624	46	23	44	3158
5	1	14	1	6	22	1063	624	54	23	73	202.682
5	1	14	1	6	23	1178	624	54	22	52	256,074
5	1	14	1	6	24	1299	623	44	23	41	21019
5	1	14	1	6	25	1403	623	55	23	16	277,093
4	1	14	1	7	0	187	680	1272	24	-1	
5	1	14	1	7	1	187	681	30	23	0	聞
5	1	14	1	7	2	218	681	28	23	0	細
5	1	14	1	7	3	249	681	29	23	0	些
5	1	14	1	7	4	279	681	45	23	0	竹
5	1	14	1	7	5	326	681	23	23	0	魚
5	1	14	1	7	6	346	681	23	23	0	購
5	1	14	1	7	7	374	681	23	22	0	几
5	1	14	1	7	8	400	680	27	24	0	抽
5	1	14	1	7	9	429	681	36	23	13	轉
